Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"75 Tuscany Springs Gardens Northwest, Calgary ",1,2025,January,"$425,000","$420,000",99%,Not Applicable,"1,120",2,2
"65 Hamlet Road Southwest, Calgary ",1,2024,September,"$550,000","$551,000",100%,House,"1,106",4,2
"#2305 130 Panatella Street Northwest, Calgary ",1,2024,October,"$239,900","$233,000",97%,High Rise Apartment,526,1,1
"2013 26 Street Southwest, Calgary ",1,2024,October,"$659,900","$628,500",95%,House,"1,263",2,1
"60 Shawmeadows Crescent Southwest, Calgary ",1,2024,October,"$499,900","$499,900",100%,House,"1,028",3,2
"60 Sage Bluff Manor Northwest, Calgary ",1,2024,October,"$519,000","$510,000",98%,Not Applicable,"1,147",3,2
"#345 223 Tuscany Springs Boulevard Northwest, Calgary ",1,2024,October,"$429,900","$425,000",99%,High Rise Apartment,843,2,1
"#2109 215 Legacy Boulevard Southeast, Calgary ",1,2024,December,"$275,000","$265,000",96%,High Rise Apartment,602,1,1
"532 Queensland Circle Southeast, Calgary ",1,2024,October,"$638,800","$597,000",93%,House,"1,164",5,3
"44 Sora Terrace Southeast, Calgary ",1,2024,November,"$589,900","$589,900",100%,Not Applicable,"1,735",3,2
"#13 330 Canterbury Drive Southwest, Calgary ",1,2024,October,"$359,900","$359,400",100%,Not Applicable,"1,034",2,1
"2527 16A Street Northwest, Calgary ",1,2024,October,"$650,000","$625,000",96%,Half Duplex,"1,175",5,2
"2525 16A Street Northwest, Calgary ",1,2024,October,"$650,000","$625,000",96%,Half Duplex,"1,175",5,2
"48 Malibou Road Southwest, Calgary ",1,2024,December,"$699,000","$650,000",93%,House,"1,290",4,2
"40 Legacy Path Southeast, Calgary ",1,2024,October,"$449,900","$452,000",100%,Not Applicable,"1,225",2,2
"1011 Woodview Crescent Southwest, Calgary ",1,2024,October,"$534,900","$548,500",103%,House,922,4,2
"10023 Oakmoor Way Southwest, Calgary ",1,2024,November,"$675,000","$620,000",92%,House,"1,181",4,2
"8426 Berkley Road Northwest, Calgary ",1,2024,October,"$437,888","$412,000",94%,Half Duplex,"1,000",4,1
"#228 22 Richard Place Southwest, Calgary ",1,2024,November,"$375,000","$360,000",96%,High Rise Apartment,987,2,2
"141 Cougar Ridge Circle Southwest, Calgary ",1,2024,October,"$799,900","$800,000",100%,House,"1,835",3,2
"103 Rundleridge Place Northeast, Calgary ",1,2024,October,"$619,900","$593,000",96%,House,"1,130",4,2
"2213 42 Street Southeast, Calgary ",1,2024,October,"$599,900","$580,000",97%,House,"1,490",4,3
"#606 836 15 Avenue Southwest, Calgary ",1,2024,October,"$400,000","$400,000",100%,High Rise Apartment,876,2,2
"#23 2511 38 Street Northeast, Calgary ",1,2024,October,"$324,900","$311,000",96%,Not Applicable,"1,231",3,1
"236 Huntwell Court Northeast, Calgary ",1,2024,October,"$399,900","$425,000",106%,House,"1,484",3,2
"#908 1010 6 Street Southwest, Calgary ",1,2024,December,"$375,000","$370,000",99%,High Rise Apartment,658,2,1
"2119 53 Avenue Southwest, Calgary ",1,2024,September,"$699,900","$773,500",111%,House,"1,096",3,1
"#402 50 Cornerstone Passage Northeast, Calgary ",1,2024,November,"$475,000","$480,000",101%,Not Applicable,"1,606",4,2
"211 Tache Avenue Northwest, Calgary ",1,2024,October,"$580,000","$585,000",101%,House,918,3,1
"#1402 81 Legacy Boulevard Southeast, Calgary ",1,2024,October,"$360,000","$355,000",99%,High Rise Apartment,877,2,2
"#703 1718 14 Avenue Northwest, Calgary ",1,2024,November,"$475,000","$438,000",92%,High Rise Apartment,898,2,2
"2307 5 Avenue Northwest, Calgary ",1,2024,October,"$886,000","$880,000",99%,Half Duplex,"2,006",4,3
"703 335 CREEKSIDE Boulevard, Calgary ",1,2024,September,"$519,999","$475,000",91%,Fourplex,"1,626",3,2
"220 Arbour Grove Close Northwest, Calgary ",1,2024,October,"$599,900","$612,500",102%,House,"1,317",4,2
"255 Panorama Hills Manor Northwest, Calgary ",1,2024,December,"$777,500","$763,500",98%,House,"1,840",5,3
"117 Carringvue Park Northwest, Calgary ",1,2024,October,"$589,900","$595,000",101%,Half Duplex,"1,482",3,2
"#102 1808 27 Avenue Southwest, Calgary ",1,2024,October,"$309,900","$307,000",99%,Not Applicable,322,1,1
"209 Elgin Meadows Park Southeast, Calgary ",1,2025,January,"$539,900","$537,500",100%,Half Duplex,"1,130",2,2
"303 Woodpark Place, Calgary ",1,2024,September,"$789,900","$840,000",106%,House,"1,360",4,3
"5120 80 Avenue Northeast, Calgary ",1,2024,October,"$6,200,000","$6,600,000",106%,House,"1,182",3,1
"1078 Copperfield Boulevard Southeast, Calgary ",1,2024,October,"$699,900","$698,000",100%,House,"1,815",4,3
"4058 46 Street Southwest, Calgary ",1,2024,October,"$525,000","$565,000",108%,Half Duplex,"1,043",3,2
"170 Panamount Road Northwest, Calgary ",1,2024,November,"$1,100,000","$1,070,000",97%,House,"2,402",4,3
"#19 2318 17 Street Southeast, Calgary ",1,2025,January,"$599,900","$599,900",100%,Not Applicable,"1,422",3,2
"#302 4311 73 Street Northwest, Calgary ",1,2024,October,"$179,000","$175,000",98%,High Rise Apartment,510,1,1
"71 Wolf Creek Avenue Southeast, Calgary ",1,2024,October,"$569,500","$565,000",99%,Not Applicable,"1,434",3,2
"#205 315 24 Avenue Southwest, Calgary ",1,2024,October,"$298,900","$286,000",96%,High Rise Apartment,664,1,1
"74 Chelsea Street Northwest, Calgary ",1,2024,November,"$699,900","$675,000",96%,House,"1,030",4,1
"53 Westpoint Way Southwest, Calgary ",1,2024,November,"$1,250,000","$1,160,000",93%,House,"2,015",3,2
"111 Erin Meadow Green Southeast, Calgary ",1,2024,October,"$559,000","$560,000",100%,House,998,4,2
"126 Hidden Valley Park Northwest, Calgary ",1,2024,October,"$655,000","$650,000",99%,House,"1,782",4,2
"1227 18 Street Northwest, Calgary ",1,2024,October,"$918,000","$900,000",98%,House,"1,215",3,2
"14 Inverness Rise Southeast, Calgary ",1,2024,October,"$749,900","$743,500",99%,House,"2,022",4,3
"145 Mckenzie Towne Close Southeast, Calgary ",1,2024,November,"$418,000","$410,500",98%,Not Applicable,"1,348",2,2
"49 Westmore Park Southwest, Calgary ",1,2024,November,"$1,599,000","$1,550,000",97%,House,"3,130",4,5
"#309 1053 10 Street Southwest, Calgary ",1,2024,October,"$274,900","$270,000",98%,High Rise Apartment,651,1,1
"188 Huntwell Road Northeast, Calgary ",1,2024,October,"$322,900","$315,000",98%,House,940,2,1
"110 Citadel Meadow Bay Northwest, Calgary ",1,2024,October,"$750,000","$738,750",99%,House,"2,014",4,3
"#324 315 24 Avenue Southwest, Calgary ",1,2024,October,"$289,900","$301,000",104%,High Rise Apartment,688,1,1
"11 Cougar Ridge Place Southwest, Calgary ",1,2024,October,"$849,900","$810,000",95%,House,"1,985",3,2
"#123 8 Prestwick Pond Terrace Southeast, Calgary ",1,2024,October,"$289,900","$282,000",97%,High Rise Apartment,745,2,1
"130 Valley Stream Circle Northwest, Calgary ",1,2025,January,"$719,900","$712,000",99%,House,"1,891",4,3
"5052 Whitestone Road Northeast, Calgary ",1,2024,October,"$579,900","$631,313",109%,House,"1,201",4,2
"131 Legacy Reach Court Southeast, Calgary ",1,2024,October,"$618,800","$618,800",100%,House,"1,755",3,2
"2920 5 Avenue Northwest, Calgary ",1,2024,September,"$899,900","$925,000",103%,House,"1,230",4,2
"214 Silverado Skies Common Southwest, Calgary ",1,2024,October,"$485,000","$473,000",98%,Not Applicable,"1,398",4,3
"2314 6 Avenue Northwest, Calgary ",1,2024,September,"$1,595,000","$1,650,000",103%,House,"2,624",5,4
"241 Scotia Point Northwest, Calgary ",1,2024,October,"$650,000","$660,000",102%,House,"1,580",3,3
"#306 383 Smith Street Northwest, Calgary ",1,2024,October,"$349,000","$340,000",97%,High Rise Apartment,505,1,1
"81 Arbour Crest Circle Northwest, Calgary ",1,2024,October,"$650,000","$643,500",99%,House,"1,346",3,2
"7828 Martha's Haven Park Northeast, Calgary ",1,2024,December,"$649,900","$640,000",98%,House,"1,575",5,
"61 Chaparral Valley Gardens Southeast, Calgary ",1,2024,October,"$484,500","$484,500",100%,Not Applicable,"1,389",3,2
"6 Radcliffe Crescent Southeast, Calgary ",1,2024,November,"$514,900","$500,000",97%,House,"1,172",3,3
"2309 Erlton Street Southwest, Calgary ",1,2024,October,"$675,000","$673,000",100%,Not Applicable,"1,408",2,2
"285 Auburn Crest Way Southeast, Calgary ",1,2024,October,"$649,900","$649,900",100%,House,"1,670",3,2
"170 New Brighton Point Southeast, Calgary ",1,2024,October,"$414,900","$410,000",99%,Not Applicable,"1,121",2,2
"78 Rivercrest Villas Southeast, Calgary ",1,2024,October,"$475,000","$456,500",96%,Half Duplex,"1,200",2,1
"#410 505 19 Avenue Southwest, Calgary ",1,2024,December,"$189,900","$179,250",94%,High Rise Apartment,565,1,1
"3 Brightoncrest Way Southeast, Calgary ",1,2024,October,"$535,000","$550,000",103%,Half Duplex,"1,499",3,2
"9 Marwood Circle, Calgary ",1,2024,October,"$474,900","$464,000",98%,House,835,4,2
"68 Hidden Ranch Crescent Northwest, Calgary ",1,2024,October,"$609,800","$608,000",100%,House,"1,432",3,2
"108 Hampstead Green Northwest, Calgary ",1,2024,October,"$530,000","$535,000",101%,Not Applicable,"1,551",2,3
"#62 6440 4 Street Northwest, Calgary ",1,2024,November,"$359,900","$345,000",96%,Not Applicable,"1,066",3,1
"650 Evermeadow Road Southwest, Calgary ",1,2024,October,"$619,900","$620,000",100%,House,"1,622",4,3
"#3216 81 Legacy Boulevard Southeast, Calgary ",1,2024,October,"$335,000","$330,000",99%,High Rise Apartment,762,2,2
"606 Hawkhill Place Northwest, Calgary ",1,2024,October,"$719,900","$725,000",101%,House,"2,162",4,2
"110 Wentworth Park Southwest, Calgary ",1,2024,September,"$819,900","$885,000",108%,House,"1,861",4,3
"#134 6400 Coach Hill Road Southwest, Calgary ",1,2024,October,"$260,000","$265,000",102%,High Rise Apartment,856,1,1
"#212 4275 Norford Avenue NW, Calgary ",1,2024,September,"$518,000","$505,000",97%,High Rise Apartment,709,2,1
"1212 Brightoncrest Common Southeast, Calgary ",1,2024,October,"$734,900","$735,000",100%,House,"2,131",3,2
"4023 Charleswood Drive Northwest, Calgary ",1,2024,October,"$649,900","$680,000",105%,House,"1,050",4,2
"#2102 5605 Henwood Street Southwest, Calgary ",1,2024,November,"$284,900","$280,000",98%,High Rise Apartment,629,1,1
"#1401 42 Cranbrook Gardens Southeast, Calgary ",1,2024,December,"$309,900","$309,900",100%,High Rise Apartment,636,1,1
"#407 110 24 Avenue Southwest, Calgary ",1,2024,September,"$247,500","$247,500",100%,High Rise Apartment,717,2,1
"#304 24 Mahogany Path Southeast, Calgary ",1,2024,September,"$699,900","$690,000",99%,High Rise Apartment,985,2,2
"#56 10910 Bonaventure Drive Southeast, Calgary ",1,2024,October,"$399,900","$395,000",99%,Not Applicable,"1,285",3,2
"#2313 6118 80 Avenue Northeast, Calgary ",1,2024,December,"$384,900","$365,000",95%,High Rise Apartment,956,2,2
"9640 Alcott Road Southeast, Calgary ",1,2024,October,"$599,900","$595,000",99%,House,"1,055",3,2
"#2218 2371 EVERSYDE Avenue Southwest, Calgary ",1,2024,October,"$229,900","$217,000",94%,High Rise Apartment,532,1,1
"228 22 Avenue Northwest, Calgary ",1,2024,September,"$750,000","$756,800",101%,House,763,3,2
"1612 49 Avenue Southwest, Calgary ",1,2024,October,"$1,400,000","$1,360,000",97%,House,"1,214",5,3
"106 Bridlewood Avenue Southwest, Calgary ",1,2024,October,"$569,900","$569,900",100%,House,"1,323",3,2
"1267 Lake Sundance Crescent Southeast, Calgary ",1,2024,October,"$829,800","$829,800",100%,House,"1,373",4,3
"1108 Mahogany Boulevard Southeast, Calgary ",1,2025,January,"$699,000","$700,000",100%,Half Duplex,"1,691",5,4
"#212 550 Westwood Drive Southwest, Calgary ",1,2024,October,"$239,900","$237,900",99%,High Rise Apartment,850,2,1
"2031 Bowness Road Northwest, Calgary ",1,2024,November,"$1,449,900","$1,382,500",95%,House,"2,373",5,3
"48 Martinridge Way Northeast, Calgary ",1,2024,October,"$475,000","$455,000",96%,House,884,2,1
"249 Walden Heights Southeast, Calgary ",1,2024,October,"$779,000","$775,000",99%,House,"2,428",4,3
"8 Bridleridge Road Southwest, Calgary ",1,2024,October,"$519,800","$505,000",97%,House,"1,477",3,2
"124 Midpark Drive Southeast, Calgary ",1,2024,November,"$699,900","$675,000",96%,House,"1,533",4,2
"11 Silverado Skies Lane Southwest, Calgary ",1,2024,October,"$809,900","$796,000",98%,House,"2,707",4,2
"#34 99 Christie Point Southwest, Calgary ",1,2024,October,"$749,900","$735,000",98%,Half Duplex,"1,291",2,2
"406 28 Avenue Northeast, Calgary ",1,2024,October,"$499,000","$485,000",97%,Half Duplex,991,3,2
"515 Sierra Morena Place Southwest, Calgary ",1,2024,October,"$988,000","$960,000",97%,House,"2,448",4,3
"3180 New Brighton Gardens Southeast, Calgary ",1,2024,December,"$444,900","$432,500",97%,Not Applicable,"1,246",2,2
"#204 2317 17B Street Southwest, Calgary ",1,2024,October,"$229,900","$226,000",98%,High Rise Apartment,506,1,1
"#513 1025 5 Avenue Southwest, Calgary ",1,2024,October,"$369,900","$351,250",95%,High Rise Apartment,590,1,1
"2 Elgin Park Common Southeast, Calgary ",1,2024,October,"$959,900","$950,000",99%,House,"1,850",4,3
"133 Citadel Pointe Northwest, Calgary ",1,2024,October,"$434,900","$421,000",97%,Not Applicable,"1,236",3,2
"1501 39 Street Southeast, Calgary ",1,2024,October,"$589,900","$599,700",102%,House,867,5,2
"216 Corner Glen Avenue Northeast, Calgary ",1,2024,December,"$674,900","$640,000",95%,House,"1,811",4,3
"2518 20 Street Southwest, Calgary ",1,2024,October,"$875,000","$835,000",95%,House,971,4,2
"26 BUTTE Place Northwest, Calgary ",1,2024,October,"$739,900","$723,000",98%,House,"1,186",5,2
"128 Copperpond Parade Southeast, Calgary ",1,2024,October,"$614,900","$614,900",100%,House,"1,979",3,3
"1347 New Brighton Park Southeast, Calgary ",1,2024,October,"$579,900","$579,900",100%,House,"1,023",4,2
"306 Harvest Grove Northeast, Calgary ",1,2024,October,"$515,000","$510,000",99%,Not Applicable,"1,689",3,2
"#301 2306 17B Street Southwest, Calgary ",1,2024,October,"$575,000","$569,250",99%,High Rise Apartment,"1,647",2,2
"2136 28 Avenue Southwest, Calgary ",1,2024,October,"$1,495,000","$1,415,000",95%,Half Duplex,"2,883",3,3
"#315 10 Mahogany Mews Southeast, Calgary ",1,2024,October,"$429,900","$418,000",97%,High Rise Apartment,892,2,2
"134 Tuscarora Close Northwest, Calgary ",1,2024,October,"$799,900","$794,000",99%,House,"1,995",3,2
"243 Legacy Common Southeast, Calgary ",1,2024,October,"$450,000","$445,000",99%,Not Applicable,"1,246",2,2
"182 Mahogany Heights Southeast, Calgary ",1,2024,October,"$589,900","$606,000",103%,House,"1,585",3,3
"3416 Charleswood Crescent Northwest, Calgary ",1,2024,October,"$999,900","$1,013,888",101%,House,"1,196",3,2
"4638 80 Street Northwest, Calgary ",1,2024,October,"$858,888","$830,000",97%,Half Duplex,"2,007",4,3
"#1322 76 Cornerstone Passage Northeast, Calgary ",1,2024,October,"$215,000","$215,000",100%,High Rise Apartment,341,1,1
"#13 6440 4 Street Northwest, Calgary ",1,2024,October,"$289,900","$293,000",101%,Not Applicable,968,2,2
"6807 Huntchester Road Northeast, Calgary ",1,2024,October,"$549,800","$535,000",97%,House,"1,191",5,2
"68 BRIDLEWOOD Crescent Southwest, Calgary ",1,2024,December,"$525,000","$527,000",100%,House,"1,315",4,2
"#222 360 Harvest Hills Way Northeast, Calgary ",1,2024,November,"$370,000","$368,000",99%,High Rise Apartment,845,2,2
"30 West Springs Road Southwest, Calgary ",1,2024,October,"$1,074,999","$1,030,000",96%,House,"2,370",4,2
"#11C 80 Galbraith Drive Southwest, Calgary ",1,2024,October,"$244,000","$238,000",98%,High Rise Apartment,810,2,1
"916 Kerfoot Crescent Southwest, Calgary ",1,2025,January,"$1,525,000","$1,499,999",98%,House,"2,658",4,2
"60 Wolf Creek Street Southeast, Calgary ",1,2024,November,"$649,900","$634,000",98%,House,"1,870",3,2
"44 Carringvue Passage Northwest, Calgary ",1,2024,December,"$749,900","$740,000",99%,House,"1,996",3,2
"814 22 Avenue Northwest, Calgary ",1,2024,October,"$875,000","$825,000",94%,House,907,2,2
"72 Riverstone Crescent Southeast, Calgary ",1,2024,October,"$574,900","$588,500",102%,House,"1,265",5,3
"#3403 155 Skyview Ranch Way Northeast, Calgary ",1,2025,January,"$282,500","$276,500",98%,High Rise Apartment,827,2,2
"5848 Lodge Crescent Southwest, Calgary ",1,2024,October,"$890,000","$950,000",107%,House,"2,336",5,2
"88 Templeson Way Northeast, Calgary ",1,2024,October,"$649,900","$635,000",98%,House,"1,203",4,2
"135 Mt Apex Crescent Southeast, Calgary ",1,2024,November,"$610,000","$630,000",103%,House,"1,364",3,2
"#418 619 Confluence Way Southeast, Calgary ",1,2024,October,"$309,900","$293,300",95%,High Rise Apartment,536,1,1
"111 Evergreen Court Southwest, Calgary ",1,2024,October,"$874,900","$874,900",100%,House,"1,894",4,3
"#1706 11010 Bonaventure Drive Southeast, Calgary ",1,2024,October,"$419,900","$415,000",99%,Not Applicable,456,2,1
"509 Saddlelake Drive Northeast, Calgary ",1,2025,February,"$739,000","$730,000",99%,House,"1,800",4,3
"#1408 1188 3 Street Southeast, Calgary ",1,2024,October,"$345,000","$330,500",96%,High Rise Apartment,520,1,1
"#210 515 57 Avenue Southwest, Calgary ",1,2024,December,"$234,900","$227,500",97%,High Rise Apartment,613,1,1
"51 Woodfern Rise Southwest, Calgary ",1,2024,October,"$549,900","$565,000",103%,House,"1,178",3,2
"137 Corner Glen Way Northeast, Calgary ",1,2024,October,"$679,900","$660,000",97%,House,"1,808",4,3
"53 Copperpond Landing Southeast, Calgary ",1,2024,November,"$459,900","$450,000",98%,Not Applicable,"1,321",3,2
"2239 Broadview Road Northwest, Calgary ",1,2024,October,"$995,000","$990,000",99%,Half Duplex,"2,056",3,2
"823 Mahogany Boulevard Southeast, Calgary ",1,2024,October,"$613,000","$625,000",102%,Half Duplex,"1,378",3,3
"115 Silver Springs Green Northwest, Calgary ",1,2024,November,"$724,900","$725,500",100%,House,"1,949",4,3
"104 Millbank Close Southwest, Calgary ",1,2024,November,"$599,900","$613,000",102%,House,"1,386",4,3
"1003 Maitland Way Northeast, Calgary ",1,2024,September,"$559,900","$555,000",99%,House,"1,220",5,3
"612 Hunterston Bay Northwest, Calgary ",1,2024,October,"$650,000","$652,000",100%,House,"1,180",5,2
"#205 8 Country Village Bay Northeast, Calgary ",1,2024,December,"$379,990","$365,000",96%,High Rise Apartment,"1,051",2,2
"15 Mahogany Point Southeast, Calgary ",1,2024,October,"$800,000","$810,000",101%,House,"2,242",4,2
"108 Skyview Springs Manor Northeast, Calgary ",1,2024,October,"$649,900","$617,485",95%,House,"1,613",4,3
"#155 35 RICHARD Court Southwest, Calgary ",1,2024,November,"$249,900","$245,000",98%,High Rise Apartment,540,1,1
"6724 Ranchview Drive Northwest, Calgary ",1,2024,October,"$575,000","$575,000",100%,House,"1,698",4,2
"203 Shawbrooke Manor Southwest, Calgary ",1,2024,October,"$659,000","$675,000",102%,House,"2,113",4,
"55 Everbrook Link Southwest, Calgary ",1,2025,February,"$758,550","$770,000",102%,House,"1,915",4,3
"428 Cranford Mews Southeast, Calgary ",1,2024,October,"$369,900","$365,000",99%,Not Applicable,"1,184",2,2
"32 Saddlelake Gardens Northeast, Calgary ",1,2024,November,"$769,000","$749,000",97%,House,"1,937",5,3
"22 Evanscrest Park Northwest, Calgary ",1,2024,October,"$434,900","$432,000",99%,Not Applicable,"1,121",2,2
"209 Windermere Road SW, Calgary ",1,2024,November,"$695,000","$659,000",95%,House,"1,081",4,1
"4646 43 Street Northeast, Calgary ",1,2024,October,"$645,000","$657,500",102%,House,"2,259",5,4
"134 Inverness Park Southeast, Calgary ",1,2024,October,"$649,000","$650,000",100%,House,"1,604",3,2
"#2212 151 Skyview Bay Northeast, Calgary ",1,2024,December,"$389,900","$375,000",96%,Not Applicable,"1,019",2,2
"3648 28 Avenue Southeast, Calgary ",1,2024,October,"$329,000","$338,000",103%,Not Applicable,843,3,2
"289 Tuscany Drive Northwest, Calgary ",1,2024,October,"$629,900","$623,000",99%,House,"1,417",3,2
"136 New Brighton Lane Southeast, Calgary ",1,2024,December,"$635,000","$615,000",97%,House,"1,880",3,2
"#416 8535 19 Avenue Southeast, Calgary ",1,2024,October,"$490,000","$482,000",98%,Not Applicable,"1,503",4,3
"#610 340 14 Avenue Southwest, Calgary ",1,2024,October,"$198,000","$196,000",99%,High Rise Apartment,486,1,1
"108 Edgebrook Place Northwest, Calgary ",1,2024,October,"$695,000","$700,000",101%,House,"1,972",3,2
"#2208 151 Skyview Bay Northeast, Calgary ",1,2024,November,"$389,900","$385,000",99%,Not Applicable,"1,058",2,2
"#1 8533 Silver Springs Road Northwest, Calgary ",1,2024,October,"$399,900","$424,800",106%,Not Applicable,"1,373",3,2
"535 Penworth Way Southeast, Calgary ",1,2024,November,"$609,000","$599,000",98%,House,948,5,2
"#128 2211 19 Street Northeast, Calgary ",1,2024,November,"$289,900","$285,000",98%,Not Applicable,"1,130",3,1
"276 Corner Glen Crescent Northeast, Calgary ",1,2024,October,"$649,900","$695,000",107%,House,"1,673",3,2
"#3314 99 Copperstone Park Southeast, Calgary ",1,2024,November,"$309,500","$305,000",99%,High Rise Apartment,802,2,2
"15240 Deer Run Drive Southeast, Calgary ",1,2024,October,"$499,900","$520,000",104%,House,"1,202",4,2
"#1206 16 Varsity Estates Circle Northwest, Calgary ",1,2024,December,"$468,000","$460,000",98%,High Rise Apartment,743,1,1
"4722 21A Street Southwest, Calgary ",1,2025,January,"$1,299,000","$1,325,000",102%,House,"2,351",6,3
"#105 112 14 Avenue Southeast, Calgary ",1,2025,January,"$299,000","$299,000",100%,High Rise Apartment,851,2,1
"#126 6868 Sierra Morena Boulevard Southwest, Calgary ",1,2024,November,"$399,900","$387,500",97%,High Rise Apartment,"1,037",2,2
"336 Beltmont Park Southwest, Calgary ",1,2024,October,"$799,900","$790,000",99%,House,"2,339",4,2
"66 Valley Woods Landing Northwest, Calgary ",1,2024,November,"$949,900","$914,000",96%,House,"2,213",4,3
"1402 Ranchlands Road Northwest, Calgary ",1,2024,October,"$449,000","$432,500",96%,Not Applicable,"1,251",3,1
"#106 195 Kincora Glen Road Northwest, Calgary ",1,2024,October,"$325,000","$318,000",98%,High Rise Apartment,764,2,2
"10727 Mapleshire Crescent Southeast, Calgary ",1,2024,October,"$669,900","$669,900",100%,House,"1,232",3,1
"2007 40 Street Southeast, Calgary ",1,2024,October,"$389,900","$371,500",95%,Half Duplex,"1,208",3,1
"51 Everridge Villas Southwest, Calgary ",1,2024,September,"$600,000","$600,000",100%,Half Duplex,"1,762",4,3
"137 Storybook Terrace Northwest, Calgary ",1,2025,January,"$279,900","$279,900",100%,Not Applicable,472,2,1
"#517 5204 DALTON Drive Northwest, Calgary ",1,2024,November,"$263,900","$259,000",98%,High Rise Apartment,908,2,1
"17 Carringvue Link Northwest, Calgary ",1,2024,October,"$589,000","$575,000",98%,Not Applicable,"1,456",4,2
"2710 17A Street Northwest, Calgary ",1,2024,October,"$1,139,000","$1,120,000",98%,Half Duplex,"1,946",5,3
"27 Rundleson Way Northeast, Calgary ",1,2024,October,"$599,900","$630,000",105%,House,"1,267",4,2
"545 Mckenzie Towne Close Southeast, Calgary ",1,2024,October,"$325,000","$320,000",98%,House,"1,025",2,2
"#6 204 Pinehill Road Northeast, Calgary ",1,2024,November,"$229,900","$233,000",101%,Not Applicable,577,2,1
"#2 139 Huntington Park Green Northwest, Calgary ",1,2024,September,"$380,000","$385,000",101%,Not Applicable,"1,018",3,1
"#8119 151 Legacy Main Street Southeast, Calgary ",1,2024,October,"$269,900","$269,900",100%,High Rise Apartment,606,1,1
"52 Brightoncrest Rise Southeast, Calgary ",1,2024,October,"$688,000","$677,000",98%,House,"1,972",3,2
"491 Saddlecrest Boulevard Northeast, Calgary ",1,2024,September,"$344,900","$328,500",95%,Not Applicable,950,2,1
"115 Aquila Drive Northwest, Calgary ",1,2024,November,"$579,999","$564,000",97%,Half Duplex,"1,586",3,2
"426 Tuscany Ridge Heights Northwest, Calgary ",1,2024,October,"$599,900","$620,000",103%,House,"1,474",3,2
"#405 788 12 Avenue Southwest, Calgary ",1,2024,December,"$328,800","$325,000",99%,High Rise Apartment,677,1,1
"1148 Sage Hill Grove Northwest, Calgary ",1,2024,October,"$469,000","$465,000",99%,Not Applicable,"1,197",3,2
"#305 25 Walgrove Walk Southeast, Calgary ",1,2024,October,"$299,999","$293,000",98%,High Rise Apartment,581,2,1
"2433 Erlton Street Southwest, Calgary ",1,2024,December,"$1,295,000","$1,248,500",96%,Not Applicable,"2,439",3,3
"2219 26A Street Southwest, Calgary ",1,2024,October,"$749,900","$750,000",100%,House,"1,530",3,2
"#1315 68 Street Street Northeast, Calgary ",1,2024,October,"$499,999","$505,000",101%,House,"1,195",3,2
"#2110 350 Livingston Common Northeast, Calgary ",1,2024,November,"$249,000","$245,000",98%,High Rise Apartment,525,1,1
"1118 New Brighton Park SE, Calgary ",1,2024,October,"$549,900","$570,000",104%,House,"1,292",3,2
"61 Rowmont Manor Northwest, Calgary ",1,2024,October,"$899,900","$891,034",99%,House,"2,082",4,3
"#342 30 Sierra Morena Landing Southwest, Calgary ",1,2024,October,"$559,900","$559,900",100%,High Rise Apartment,"1,767",2,2
"#6413 155 Skyview Ranch Way Northeast, Calgary ",1,2025,January,"$299,999","$277,500",93%,High Rise Apartment,905,2,2
"#4201 550 Belmont Street Southwest, Calgary ",1,2024,October,"$299,900","$284,900",95%,High Rise Apartment,578,1,1
"#202 308 24 Avenue Southwest, Calgary ",1,2024,December,"$239,900","$220,000",92%,High Rise Apartment,505,1,1
"155 Macewan Park Rise Northwest, Calgary ",1,2024,October,"$699,000","$745,000",107%,House,"1,858",5,3
"429 22 Avenue Northeast, Calgary ",1,2024,December,"$549,900","$515,000",94%,House,"1,117",3,1
"820 Auburn Bay Square Southeast, Calgary ",1,2024,November,"$369,900","$362,000",98%,House,659,2,1
"200 Prestwick Manor Southeast, Calgary ",1,2025,January,"$699,900","$695,000",99%,House,"1,342",3,2
"1216 Deer River Circle Southeast, Calgary ",1,2024,August,"$819,900","$819,900",100%,House,"2,460",4,3
"284 Carrington Way Northwest, Calgary ",1,2024,October,"$589,000","$597,500",101%,Half Duplex,"1,792",3,2
"67 Elgin View Southeast, Calgary ",1,2024,November,"$629,900","$640,000",102%,House,"1,780",3,2
"13000 84 Street Southeast, Calgary ",1,2025,January,"$1,599,999","$1,300,000",81%,House,"1,627",5,2
"1231 140 Avenue Northwest, Calgary ",1,2024,November,"$539,900","$533,200",99%,Not Applicable,"1,359",3,2
"8 Nolan Hill Gate Northwest, Calgary ",1,2024,October,"$425,000","$420,000",99%,Not Applicable,"1,268",2,1
"#3409 220 Seton Grove Southeast, Calgary ",1,2024,November,"$379,900","$368,000",97%,High Rise Apartment,852,2,2
"#3101 3101 Valleyview Park Southeast, Calgary ",1,2024,October,"$289,900","$282,000",97%,High Rise Apartment,950,2,2
"164 Auburn Meadows Crescent Southeast, Calgary ",1,2024,October,"$810,000","$826,000",102%,House,"2,182",3,2
"716 Sierra Crescent Southwest, Calgary ",1,2024,December,"$575,900","$555,000",96%,House,"1,087",3,2
"253 Yorkville Boulevard Southwest, Calgary ",1,2025,January,"$527,990","$520,000",98%,Not Applicable,"1,469",3,2
